scene	predict_n	window_w	random_m	pool	keepalive_s	success_rate	median_est_ms	median_epoch	rounds	cost
main	16	4	128	1	10	1.00	426	1	5	52.6
main	16	4	128	3	10	1.00	471	1	5	54.6
main	16	4	128	6	10	1.00	422	1	5	57.6
random	8	2	32	1	10	1.00	415	1	5	14.2
random	8	2	32	3	10	1.00	420	1	5	16.2
random	8	2	32	6	10	0.80	426.0	1.0	5	19.2
random	8	2	64	1	10	0.40	413.0	1.0	5	20.6
random	8	2	64	3	10	0.80	418.5	1.0	5	22.6
random	8	2	64	6	10	0.60	435	1	5	25.6
random	8	2	128	1	10	0.40	425.0	1.0	5	33.4
random	8	2	128	3	10	0.40	427.5	1.0	5	35.4
random	8	2	128	6	10	0.40	453.0	1.0	5	38.4
ka	8	2	64	3	10	0.40	405.0	1.0	5	22.6
ka	8	2	64	3	20	0.40	411.5	1.0	5	22.6
ka	8	2	64	3	40	0.40	410.0	1.0	5	22.6
